_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
61742ea02788418ec824c941,Alfred Hitchcock,Crime & Drama & Thriller,4.0,Montgomery Clift & Anne Baxter & Karl Malden & Brian Aherne & O.E. Hasse,George Tabori & William Archibald & Paul Anthelme,I Confess,nn,nn,1953,124,tt0045897,6.11793,16.363,0.555635,0.275935,0.385516,0.742624,0.234322,0.736985,0.64205,0.999252,3,3,7,-15.6704,-44.8035,4
61742ef32788418ec824c963,William Cameron Menzies,Drama & Fantasy & Horror & Mystery & Sci-Fi,3.0,Richard Carlson & Veronica Hurst & Katherine Emery & Michael Pate & John Dodsworth,Daniel B. Ullman & Maurice Sandoz,The Maze,nn,nn,1953,46,tt0046057,-29.4266,-3.54314,0.434373,0.372355,0.534234,0.565224,0.220552,0.789424,0.93695,0.349996,3,3,5,-30.9904,32.0749,6
617430052788418ec824c9d3,Alfred Hitchcock,Crime & Thriller,5.0,Ray Milland & Grace Kelly & Robert Cummings & John Williams & Anthony Dawson,Frederick Knott & Frederick Knott,Dial M for Murder,nn,nn,1954,356,tt0046912,-51.9979,28.1469,0.673841,0.515155,0.688566,0.612036,0.322055,0.598089,0.912885,0.311629,3,3,4,-8.05961,31.366,7
6174302b2788418ec824c9e3,Henry Hathaway,Action & Adventure & Drama & Romance & Western,4.0,Gary Cooper & Susan Hayward & Richard Widmark & Hugh Marlowe & Cameron Mitchell,Frank Fenton & Fred Freiberger & William Tunberg,Garden of Evil,nn,nn,1954,67,tt0047013,-5.65038,41.5922,0.567557,0.650924,0.484211,0.544076,0.73552,0.516928,0.722181,0.408169,3,3,2,22.3157,16.0476,5
617430582788418ec824c9f5,Edward D. Wood Jr.,Crime & Drama & Film-Noir & Thriller,2.0,Lyle Talbot & Dolores Fuller & Herbert Rawlinson & Steve Reeves & Clancy Malone,Alex Gordon & Edward D. Wood Jr. & Alex Gordon,Jail Bait,nn,nn,1954,52,tt0047127,-64.2131,-37.8734,0.681349,0.159577,0.6152,0.946126,0.121059,0.802594,0.21629,0.776461,3,3,7,-2.81416,-55.2351,4
617430932788418ec824ca0d,Don Siegel,Crime & Drama & Film-Noir,4.0,Ida Lupino & Steve Cochran & Howard Duff & Dean Jagger & Dorothy Malone,Collier Young & Ida Lupino,Private Hell 36,nn,nn,1954,34,tt0047370,-30.191,27.2916,0.917139,0.343827,0.581238,0.717979,0.271766,0.394286,0.459555,0.853504,3,3,7,-6.34825,-42.8162,4
617430e62788418ec824ca2f,Lewis Allen,Crime & Drama & Film-Noir & Thriller,4.0,Frank Sinatra & Sterling Hayden & James Gleason & Nancy Gates & Kim Charney,Richard Sale,Suddenly,nn,nn,1954,106,tt0047542,-51.2936,11.0766,0.879499,0.293094,0.308778,0.795834,0.155594,0.469537,0.6501,0.949221,3,3,7,-9.55944,-45.97,4
617431c22788418ec824ca89,Motoyoshi Oda & Ishirô Honda,Action & Horror & Sci-Fi,3.0,Hiroshi Koizumi & Setsuko Wakayama & Minoru Chiaki & Takashi Shimura & Masao Shimizu,Takeo Murata & Shigeaki Hidaka & Shigeru Kayama,Godzilla Raids Again,nn,nn,1955,77,tt0048127,-37.8984,-10.4539,0.862616,0.421032,0.214378,0.959594,0.327697,0.407067,0.541454,0.110048,3,3,6,-25.3476,5.40242,1
617431db2788418ec824ca93,Lewis Allen,Crime & Drama & Film-Noir & Thriller,4.0,Edward G. Robinson & Nina Foch & Hugh Marlowe & Jayne Mansfield & Albert Dekker,W.R. Burnett & James R. Webb & Frank J. Collins,Illegal,nn,nn,1955,45,tt0048199,-37.8574,31.2088,0.971836,0.232278,0.667446,0.865159,0.335326,0.745709,0.510872,0.894436,3,3,7,-4.73669,-48.7926,4
617432012788418ec824caa3,Robert Aldrich,Crime & Film-Noir & Mystery & Sci-Fi & Thriller,4.0,Ralph Meeker & Albert Dekker & Paul Stewart & Juano Hernandez & Wesley Addy,Mickey Spillane & A.I. Bezzerides,Kiss Me Deadly,nn,nn,1955,189,tt0048261,-86.4035,-2.53791,0.660614,0.246649,0.625082,0.652117,0.171512,0.570461,0.701392,0.0412106,3,3,5,-27.9813,18.4208,6
617432812788418ec824cad7,Ranald MacDougall,Drama & Romance,4.0,Joan Crawford & Barry Sullivan & Betsy Palmer & John Ireland & Lucy Marlow,Ranald MacDougall & Edna L. Lee,Queen Bee,nn,nn,1955,58,tt0048527,-26.0625,7.16154,0.838087,0.391063,0.68943,0.628326,0.499262,0.546507,0.535542,0.291886,3,3,6,-28.2377,-3.3477,1
617432bc2788418ec824caef,Jack Arnold,Horror & Sci-Fi,4.0,John Agar & Mara Corday & Leo G. Carroll & Nestor Paiva & Ross Elliott,Robert M. Fresco & Martin Berkeley & Jack Arnold,Tarantula,nn,nn,1955,114,tt0048696,-44.1989,1.25726,0.469303,0.304082,0.961315,0.985666,0.315121,0.394167,0.404729,0.43776,3,3,6,-12.1695,12.2127,1
617432cf2788418ec824caf7,Jesse Hibbs,Action & Biography & Drama & History & Romance & War,4.0,Audie Murphy & Marshall Thompson & Charles Drake & Jack Kelly & Gregg Palmer,Gil Doud & Audie Murphy,To Hell and Back,nn,nn,1955,50,tt0048729,-50.7016,9.45958,0.84922,0.288006,0.415222,0.914621,0.224502,0.737187,0.540444,0.853633,3,3,7,-6.34787,-49.1357,4
617432d42788418ec824caf9,Alfred Hitchcock,Comedy & Mystery,4.0,Edmund Gwenn & John Forsythe & Mildred Natwick & Mildred Dunnock & Jerry Mathers,John Michael Hayes & Jack Trevor Story,The Trouble with Harry,nn,nn,1955,184,tt0048750,-20.0512,10.1779,0.668382,0.389639,0.4387,0.267737,0.492421,0.95407,0.798866,0.222746,3,3,5,-18.2161,48.8209,6
617432df2788418ec824cafd,Richard Fleischer,Crime & Drama & Film-Noir & Thriller,4.0,Victor Mature & Richard Egan & Stephen McNally & Virginia Leith & Tommy Noonan,Sydney Boehm & William L. Heath,Violent Saturday,nn,nn,1955,48,tt0048790,-76.2406,-1.43872,0.846347,0.144935,0.785841,0.546052,0.239658,0.659167,0.657385,0.601911,3,3,7,-7.43151,-23.1404,4
6174330f2788418ec824cb11,Robert Aldrich,Drama,4.0,Joan Crawford & Cliff Robertson & Vera Miles & Lorne Greene & Ruth Donnelly,Jean Rouverol & Hugo Butler & Lewis Meltzer,Autumn Leaves,nn,nn,1956,50,tt0048967,0.0742654,29.0307,0.334467,0.475685,0.300267,0.742748,0.696955,0.589475,0.782686,0.507859,3,3,3,9.31507,44.1066,8
617433c72788418ec824cb5b,Budd Boetticher,Crime & Drama & Film-Noir & Thriller,4.0,Joseph Cotten & Rhonda Fleming & Wendell Corey & Alan Hale Jr. & Michael Pate,Harold Medford & John Hawkins & Ward Hawkins,The Killer Is Loose,nn,nn,1956,35,tt0049405,-66.5053,-9.42169,0.867587,0.101076,0.495572,0.923385,0.0677157,0.768398,0.406276,0.747291,3,3,7,-4.60839,-53.1581,4
617433da2788418ec824cb63,Richard Brooks,Drama & Western,4.0,Robert Taylor & Stewart Granger & Lloyd Nolan & Debra Paget & Russ Tamblyn,Richard Brooks & Milton Lott,The Last Hunt,nn,nn,1956,38,tt0049432,-44.094,-13.0047,0.781869,0.405523,0.47593,0.623577,0.253228,0.724586,0.472764,0.21961,3,3,6,-32.0966,-2.58138,1
617433e02788418ec824cb65,Delmer Daves,Adventure & Drama & Western,4.0,Richard Widmark & Felicia Farr & Susan Kohner & Tommy Rettig & Stephanie Griffin,James Edward Grant & Delmer Daves & Gwen Bagni,The Last Wagon,nn,nn,1956,36,tt0049434,-11.333,36.9411,0.800223,0.652622,0.482875,0.736345,0.5163,0.480089,0.799133,0.693182,3,3,3,24.0349,1.39798,8
6174345e2788418ec824cb99,Robert Wise,Biography & Drama & Sport,4.0,Paul Newman & Pier Angeli & Everett Sloane & Eileen Heckart & Sal Mineo,Ernest Lehman & Rocky Graziano & Rowland Barber,Somebody Up There Likes Me,nn,nn,1956,72,tt0049778,-11.3444,35.8178,0.931919,0.625005,0.439299,0.514773,0.504621,0.439518,0.684134,0.62815,3,3,3,22.6895,6.03018,8
